STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SDN,Sudan,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AND,Andorra,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ATG,Antigua and Barbuda,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,3.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,3.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,3.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,4.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLZ,Belize,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,3.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEN,Benin,WB_THINK_HAZARD_CF_LEVEL,Hazard level for Coastal Floods,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1_TO_4,1-4 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,3.0,WB_THINK_HAZARD,ThinkHazard!,"Hazard levels for this dataset have been mapped as follows very low (1), low (2), medium (3) and high (4).",0,Units,RANK,Rank,602,CCYY,A,Normal value,PU,Public
